date,keyword,trend_score
2023/5/28,Formula 1,15
2023/6/4,Formula 1,11
2023/6/11,Formula 1,8
2023/6/18,Formula 1,11
2023/6/25,Formula 1,8
2023/7/2,Formula 1,13
2023/7/9,Formula 1,12
2023/7/16,Formula 1,8
2023/7/23,Formula 1,13
2023/7/30,Formula 1,9
2023/8/6,Formula 1,4
2023/8/13,Formula 1,4
2023/8/20,Formula 1,6
2023/8/27,Formula 1,13
2023/9/3,Formula 1,11
2023/9/10,Formula 1,8
2023/9/17,Formula 1,14
2023/9/24,Formula 1,9
2023/10/1,Formula 1,8
2023/10/8,Formula 1,10
2023/10/15,Formula 1,8
2023/10/22,Formula 1,14
2023/10/29,Formula 1,14
2023/11/5,Formula 1,12
2023/11/12,Formula 1,10
2023/11/19,Formula 1,12
2023/11/26,Formula 1,8
2023/12/3,Formula 1,4
2023/12/10,Formula 1,3
2023/12/17,Formula 1,3
2023/12/24,Formula 1,3
2023/12/31,Formula 1,3
2024/1/7,Formula 1,3
2024/1/14,Formula 1,3
2024/1/21,Formula 1,3
2024/1/28,Formula 1,5
2024/2/4,Formula 1,4
2024/2/11,Formula 1,4
2024/2/18,Formula 1,7
2024/2/25,Formula 1,18
2024/3/3,Formula 1,15
2024/3/10,Formula 1,8
2024/3/17,Formula 1,9
2024/3/24,Formula 1,11
2024/3/31,Formula 1,8
2024/4/7,Formula 1,9
2024/4/14,Formula 1,8
2024/4/21,Formula 1,9
2024/4/28,Formula 1,9
2024/5/5,Formula 1,12
2024/5/12,Formula 1,8
2024/5/19,Formula 1,12
2024/5/26,Formula 1,13
2024/6/2,Formula 1,8
2024/6/9,Formula 1,11
2024/6/16,Formula 1,7
2024/6/23,Formula 1,11
2024/6/30,Formula 1,11
2024/7/7,Formula 1,10
2024/7/14,Formula 1,7
2024/7/21,Formula 1,11
2024/7/28,Formula 1,9
2024/8/4,Formula 1,4
2024/8/11,Formula 1,4
2024/8/18,Formula 1,6
2024/8/25,Formula 1,12
2024/9/1,Formula 1,12
2024/9/8,Formula 1,8
2024/9/15,Formula 1,13
2024/9/22,Formula 1,9
2024/9/29,Formula 1,5
2024/10/6,Formula 1,5
2024/10/13,Formula 1,8
